;temperature;dew_point;relative_humidity;precipitation;snowfall;wind_direction;wind_speed;wind_gust;pressure;sunshine_duration;weather_condition_code;utr_index;time
0;20.9;9.4;42.5;0.0;;355.0;7.2;18.5;1027.5500000000002;;1.0;W51.178617.09062025-06-13T12:30:00+0200;
1;12.95;6.8500000000000005;69.5;0.0;;80.0;3.6;10.2;1020.45;;1.5;W51.326917.05342025-05-01T21:20:00+0200;
2;17.3;10.100000000000001;64.0;0.0;;360.0;14.4;22.2;1028.2;;2.0;W52.204619.17642025-06-13T10:18:00+0200;2025-06-13 10:00:00
